house_bill_number,title,significance,date_filed,principal_authors,date_read,primary_referral,mother_bill_status,status
HB02486,AN ACT PROVIDING COMPASSIONATE AND RIGHT OF ACCESS TO MEDICAL CANNABIS AND EXPANDING RESEARCH INTO ITS MEDICINAL PROPERTIES,NATIONAL,2019-07-23,"PINEDA, ENRICO A.; ROMERO, MICHAEL ODYLON L.; ",2019-07-30,HEALTH,,Pending with the Committee on HEALTH since 2019-07-30
HB02487,AN ACT IMPOSING SEVERE PENALTIES FOR TAXI DRIVERS WHO ARE DIRECTLY INVOLVED IN THE COMMISSION OF VARIOUS CRIMES THEREBY AUTHORIZING THE PNP HIGHWAY PATROL GROUP TO INSTITUTE A SYSTEM OF ACCREDITATION FOR ALL DRIVERS IN THE TAXI SERVICE AND FOR OTHER PURPOSES,NATIONAL,2019-07-23,"CASTELO, PRECIOUS HIPOLITO",2019-07-30,TRANSPORTATION,,Pending with the Committee on TRANSPORTATION since 2019-07-30
HB02488,"AN ACT DECLARING JULY 27 OF EVERY YEAR AS A SPECIAL NONWORKING HOLIDAY IN RECOGNITION OF THE FOUNDING ANNIVERSARY OF THE IGLESIA NI CRISTO IN THE PHILIPPINES, AMENDING FOR THE PURPOSE SECTION 3 OF REPUBLIC ACT NO. 9645",NATIONAL,2019-07-23,"CASTELO, PRECIOUS HIPOLITO",2019-07-30,REVISION OF LAWS,"Approved by the House on 2020-03-10, transmitted to the Senate on 2020-03-11 and received by the Senate on 2020-03-11",Substituted by HB05912
HB02489,AN ACT AUTHORIZING INSTRUCTION RELATED TO THE PREVENTION OF SUICIDE AMONG YOUTHS AS AN INTEGRAL PART OF HEALTH EDUCATION AND APPROPRIATING FUNDS THEREFOR,NATIONAL,2019-07-23,"CASTELO, PRECIOUS HIPOLITO",2019-07-30,HEALTH,,Pending with the Committee on HEALTH since 2019-07-30
HB02490,"AN ACT AMENDING CERTAIN SECTIONS OF PRESIDENTIAL DECREE NO. 910 CREATING AN ENERGY DEVELOPMENT BOARD, DEFINING ITS POWERS AND FUNCTIONS, PROVIDING FUNDS THEREFOR AND FOR OTHER PURPOSES",NATIONAL,2019-07-23,"CASTELO, PRECIOUS HIPOLITO",2019-07-30,ENERGY,,Pending with the Committee on ENERGY since 2019-07-30
HB02491,AN ACT AUTHORIZING THE UTILIZATION OF PCSO FUNDS FROM UNCLAIMED LOTTO PRIZES FOR DISPOSITION AND ADMINISTRATION BY DSWD FOR ITS SOCIAL WELFARE PROGRAMS AND FOR OTHER PURPOSES,NATIONAL,2019-07-23,"CASTELO, PRECIOUS HIPOLITO",2019-07-30,GAMES AND AMUSEMENTS,,Pending with the Committee on GAMES AND AMUSEMENTS since 2019-07-30
HB02492,AN ACT PROHIBITING PUV OPERATORS TO EMPLOY DRIVERS FOR MORE THAN EIGHT (8) HOURS A DAY TO ENSURE DRIVING ALERTNESS AND PROVIDING PENALTIES FOR VIOLATIONS THEREOF AND FOR OTHER PURPOSES,NATIONAL,2019-07-23,"CASTELO, PRECIOUS HIPOLITO",2019-07-30,LABOR AND EMPLOYMENT,,Pending with the Committee on LABOR AND EMPLOYMENT since 2019-07-30
HB02493,AN ACT CREATING THE NATIONAL AUTOMOTIVE SAFETY ADMINISTRATION AND APPROPRIATING FUNDS THEREFOR AND FOR OTHER PURPOSES,NATIONAL,2019-07-23,"CASTELO, PRECIOUS HIPOLITO",2019-07-30,TRANSPORTATION,,Pending with the Committee on TRANSPORTATION since 2019-07-30
HB02494,AN ACT CONVERTING DON ANTONIO AVENUE IN QUEZON CITY INTO A NATIONAL ROAD,LOCAL,2019-07-23,"CASTELO, PRECIOUS HIPOLITO",2019-07-30,PUBLIC WORKS AND HIGHWAYS,,Pending with the Committee on PUBLIC WORKS AND HIGHWAYS since 2019-07-30
HB02495,"AN ACT ESTABLISHING TECHNICAL EDUCATION AND SKILLS DEVELOPMENT AUTHORITY (TESDA) ROMBLON PROVINCIAL TRAINING CENTERS IN THE PROVINCE OF ROMBLON, AND APPROPRIATING FUNDS THEREFOR",LOCAL,2019-07-23,MADRONA. ELEANDRO JESUS F.,2019-07-30,HIGHER AND TECHNICAL EDUCATION,"Approved by the House on 2019-12-17, transmitted to the Senate on 2019-12-18 and received by the Senate on 2019-12-18",Substituted by HB05579
HB02496,AN ACT CREATING THE ZAMBOANGA INTERNATIONAL AIRPORT AUTHORITY AND PROVIDING FUNDS THEREFOR,NATIONAL,2019-07-23,"DALIPE, MANUEL JOSE ""MANNIX"" M.",2019-07-30,GOVERNMENT ENTERPRISES AND PRIVATIZATION,,Pending with the Committee on GOVERNMENT ENTERPRISES AND PRIVATIZATION since 2019-07-30
HB02497,"AN ACT EXTENDING FOR TWENTY-FIVE YEARS THE FRANCHISE GRANTED TO CALAPAN TELEPHONE SYSTEM, INC. (FORMERLY THE CALAPAN TELEPHONE SYSTEM, INC.), AMENDING FOR THE PURPOSE REPUBLIC ACT NO. 8351, ENTITLED AN ACT GRANTING THE CALAPAN TELEPHONE SYSTEM, INC., A FRANCHISE TO CONSTRUCT, ESTABLISH, INSTALL, MAINTAIN AND OPERATE LOCAL EXCHANGE NETWORK IN THE PROVINCE OF ORIENTAL MINDORO",LOCAL,2019-07-23,"LEACHON, DOY C.",2019-07-30,LEGISLATIVE FRANCHISES,"Approved by the House on 2021-03-25, transmitted to the Senate on 2021-04-12 and received by the Senate on 2021-04-12",Substituted by HB08975
HB02498,"AN ACT CONVERTING THE ORIENTAL MINDORO PROVINCIAL HOSPITAL IN CALAPAN CITY, ORIENTAL MINDORO INTO A REGIONAL HOSPITAL TO BE KNOWN AS THE MIMAROPA REGIONAL HOSPITAL AND TO UPGRADE ITS FACILITIES AND BED CAPACITY TO FIVE HUNDRED (500) AND APPROPRIATING FUNDS THEREFOR",LOCAL,2019-07-23,"LEACHON, DOY C.",2019-07-30,HEALTH,"Approved by the House on 2021-08-31, transmitted to the Senate on 2021-09-01 and received by the Senate on 2021-09-01",Substituted by HB09878
HB02499,"AN ACT PROVIDING FREE LEGAL ASSISTANCE TO ANY OFFICER OR ENLISTED PERSONNEL OF THE ARMED FORCES OF THE PHILIPPINES (AFP) AND THE PHILIPPINE NATIONAL POLICE (PNP) ON ANY CHARGE OR CASE FILED BEFORE THE PROSECUTORꞌS OFFICE, COURT, ADMINISTRATIVE OR ANY COMPETENT BODY ARISING FROM AN INCIDENT OR INCIDENTS RELATED TO THE PERFORMANCE OF OFFICIAL DUTY, AND APPROPRIATING FUNDS THEREFOR",NATIONAL,2019-07-23,"FUENTEBELLA, ARNIE B.",2019-07-30,JUSTICE,,Pending with the Committee on JUSTICE since 2021-08-24
HB02500,"AN ACT CONVERTING THE VILLAFUERTE-PEÑA HIGH SCHOOL IN BARANGAY PONGLON, MUNICIPALITY OF SAN JOSE, PROVINCE OF CAMARINES SUR INTO A NATIONAL TECHNICAL-VOCATIONAL HIGH SCHOOL TO BE KNOWN AS THE JUAN C. PEÑA NATIONAL TECHNICAL-VOCATIONAL HIGH SCHOOL, AND APPROPRIATING FUNDS THEREFOR",LOCAL,2019-07-23,"FUENTEBELLA, ARNIE B.",2019-07-30,BASIC EDUCATION AND CULTURE,,Pending with the Committee on BASIC EDUCATION AND CULTURE since 2019-07-30
HB02501,AN ACT MANDATING THE 14TH MONTH PAY FOR ALL EMPLOYEES IN THE GOVERNMENT AND PRIVATE SECTOR REGARDLESS OF STATUS OF EMPLOYMENT,NATIONAL,2019-07-23,"BELMONTE, JOSE CHRISTOPHER Y.",2019-07-30,CIVIL SERVICE AND PROFESSIONAL REGULATION,,Pending with the Committee on CIVIL SERVICE AND PROFESSIONAL REGULATION since 2019-07-30
HB02502,"AN ACT ESTABLISHING THE NATIONAL COMMITTEE FOR THE PREVENTION OF TORTURE (NCPT), THE NATIONAL PREVENTIVE MECHANISM AGAINST TORTURE AND OTHER CRUEL, INHUMAN AND DEGRADING TREATMENT OR PUNISHMENT IN THE PHILIPPINES, PROVIDING A FRAMEWORK FOR IMPLEMENTING OBLIGATIONS UNDER THE OPTIONAL PROTOCOL TO THE CONVENTION AGAINST TORTURE AND OTHER CRUEL, INHUMAN OR DEGRADING TREATMENT OR PUNISHMENT (OPCAT), AND APPROPRIATING FUNDS THEREFOR",NATIONAL,2019-07-23,"BELMONTE, JOSE CHRISTOPHER Y.",2019-07-30,HUMAN RIGHTS,,Pending with the Committee on HUMAN RIGHTS since 2019-07-30
HB02503,AN ACT CREATING A FOURTH DISTRICT ENGINEERING OFFICE IN THE FOURTH LEGISLATIVE DISTRICT OF BUKIDNON AND APPROPRIATING FUNDS THEREFOR,LOCAL,2019-07-23,"ROQUE, ROGELIO NEIL P.",2019-07-30,PUBLIC WORKS AND HIGHWAYS,"Approved by the House on 2020-03-02, transmitted to the Senate on 2020-03-03 and received by the Senate on 2020-03-03",Substituted by HB05892
HB02504,"AN ACT ESTABLISHING THE TEODORO N. PEPITO MEMORIAL HOSPITAL IN THE CITY OF VALENCIA, FOURTH DISTRICT OF THE PROVINCE OF BUKIDNON AND APPROPRIATING FUNDS THEREFOR",LOCAL,2019-07-23,"ROQUE, ROGELIO NEIL P.",2019-07-30,HEALTH,,Pending with the Committee on HEALTH since 2019-07-30
HB02505,"AN ACT SUBDIVIDING BARANGAY POBLACION IN THE CITY OF VALENCIA, PROVINCE OF BUKIDNON INTO FOUR DISTINCT AND SEPARATE BARANGAYS TO BE KNOWN AS BARANGAY POBLACION 1, BARANGAY POBLACION 2, BARANGAY POBLACION 3 AND BARANGAY POBLACION 4",LOCAL,2019-07-23,"ROQUE, ROGELIO NEIL P.",2019-07-30,LOCAL GOVERNMENT,,Pending with the Committee on LOCAL GOVERNMENT since 2019-07-30
HB02506,"AN ACT CONVERTING SITIO BUCO IN BARANGAY BANLAG IN THE CITY OF VALENCIA, PROVINCE OF BUKIDNON INTO A SEPARATE AND DISTINCT BARANGAY",LOCAL,2019-07-23,"ROQUE, ROGELIO NEIL P.",2019-07-30,LOCAL GOVERNMENT,,Pending with the Committee on LOCAL GOVERNMENT since 2019-07-30
HB02507,AN ACT REQUIRING CERTAIN FINANCIAL INSTITUTIONS TO POST TRANSACTION FEES FOR EACH AUTOMATED TELLER MACHINE TRANSACTION AND RESTRICTING TRANSACTION FEES FOR AUTOMATED TELLER MACHINES,NATIONAL,2019-07-23,"VARGAS, ALFRED",2019-07-30,BANKS AND FINANCIAL INTERMEDIARIES,,Pending with the Committee on BANKS AND FINANCIAL INTERMEDIARIES since 2019-07-30
HB02508,AN ACT PRESCRIBING SCHOOL BUS SAFETY STANDARDS AND FOR OTHER PURPOSES,NATIONAL,2019-07-23,"VARGAS, ALFRED",2019-07-30,TRANSPORTATION,,Pending with the Committee on TRANSPORTATION since 2019-07-30
HB02509,"AN ACT UPGRADING THE MINIMUM SALARY OF PUBLIC SCHOOL TEACHERS FROM SALARY GRADE 11 TO SALARY GRADE 13, AND APPROPRIATING FUNDS THEREFOR",NATIONAL,2019-07-23,"SUAREZ, ALETA C.",2019-07-30,APPROPRIATIONS,Republic Act RA11466 enacted on 2020-01-08,Consolidated into HB05712
HB02510,"AN ACT CREATING ONE (1) ADDITIONAL BRANCH OF THE REGIONAL TRIAL COURT IN THE SIXTH JUDICIAL REGION TO BE STATIONED IN VICTORIAS CITY, PROVINCE OF NEGROS OCCIDENTAL, AMENDING FOR THE PURPOSE BATAS PAMBANSA BLG. 129, AS AMENDED, OTHERWISE KNOWN AS THE JUDICIARY REORGANIZATION ACT OF 1980, AS AMENDED, AND APPROPRIATING FUNDS THEREFOR",NATIONAL,2019-07-23,"BENITEZ, JOSE FRANCISCO ""KIKO"" B.",2019-07-30,JUSTICE,"Approved by the House on 2020-05-06, transmitted to the Senate on 2020-05-11 and received by the Senate on 2020-05-11",Substituted by HB06328
HB02511,"AN ACT INSTITUTIONALIZING MALASAKIT CENTERS TO COMPLEMENT THE IMPLEMENTATION OF REPUBLIC ACT       NO. 11223 OTHERWISE KNOWN AS THE ""UNIVERSAL HEALTH CARE ACT"" BY REQUIRING PHILHEALTH TO ESTABLISH, OPERATE AND MAINTAIN MALASAKIT CENTERS IN ALL DOH, LGU, SUC AND DND HOSPITALS IN THE COUNTRY, PROVIDING FUNDS THEREFOR, AND FOR OTHER PURPOSES",NATIONAL,2019-07-23,"ALMARIO, JOEL MAYO Z.",2019-07-30,HEALTH,Republic Act RA11463 enacted on 2019-12-03,Substituted by HB05477
HB02512,"AN ACT DECLARING THE FOURTH THURSDAY OF NOVEMBER AS NATIONAL THANKSGIVING DAY, AND FOR OTHER PURPOSES",NATIONAL,2019-07-23,"ALMARIO, JOEL MAYO Z.",2019-07-30,REVISION OF LAWS,"Approved by the House on 2020-03-10, transmitted to the Senate on 2020-03-11 and received by the Senate on 2020-03-11",Substituted by HB05975
HB02513,"AN ACT MANDATING ALL COMMERCIAL ESTABLISHMENTS SERVING FOOD TO THE PUBLIC TO PROVIDE ONE-HALF CUP OF RICE SERVING AS A MENU OPTION, PROVIDING PENALTIES FOR THE VIOLATION OF SUCH, AND FOR OTHER PURPOSES",NATIONAL,2019-07-23,"ALMARIO, JOEL MAYO Z.",2019-07-30,TRADE AND INDUSTRY,,Pending with the Committee on TRADE AND INDUSTRY since 2019-07-30
HB02514,"AN ACT ESTABLISHING THE WATER SECURITY AND SUSTAINABILITY INITIATIVE CREATING FOR THE PURPOSE THE DEPARTMENT OF WATER RESOURCES, AND APPROPRIATING FUNDS THEREFOR",NATIONAL,2019-07-23,"DEFENSOR, LORENZ R.",2019-07-30,GOVERNMENT REORGANIZATION,Business for the day on 2021-09-01,Substituted by HB09948
HB02515,"AN ACT CREATING THE NATIONAL CANCER CENTER OF THE PHILIPPINES, APPROPRIATING FUNDS THEREFOR, AND FOR OTHER PURPOSES",NATIONAL,2019-07-23,"ALMARIO, JOEL MAYO Z.",2019-07-30,GOVERNMENT REORGANIZATION,,Pending with the Committee on GOVERNMENT REORGANIZATION since 2019-07-30
HB02516,"AN ACT REGULATING NOISE POLLUTION BY CREATING THE NOISE POLLUTION CONTROL BOARD (NPCB), PROVIDING FUNDS THEREFOR AND FOR OTHER PURPOSES",NATIONAL,2019-07-23,"TUPAS, RAUL C.",2019-07-30,ECOLOGY,,Pending with the Committee on ECOLOGY since 2019-07-30
HB02517,"AN ACT REQUIRING INTERNET SERVICE PROVIDERS TO CREATE AND MAINTAIN A CHILD FRIENDLY INTERNET PACKAGE       FOR SUBSCRIPTION OF PARENTS OR GUARDIANS, FREE       WIFI PROVIDERS, COMPUTER RENTAL SHOPS, AND OTHER SUBSCRIBERS, AND PROVIDING PENALTIES FOR VIOLATION THEREOF",NATIONAL,2019-07-23,"YU, DIVINA GRACE C.",2019-07-30,WELFARE OF CHILDREN,,Referred to the Technical Working Group (TWG) on 2020-03-02
HB02518,AN ACT RIGHTSIZING THE NATIONAL GOVERNMENT TO IMPROVE PUBLIC SERVICE DELIVERY,NATIONAL,2019-07-23,"NOGRALES, JERICHO JONAS B.",2019-07-30,GOVERNMENT REORGANIZATION,,Pending with the Committee on GOVERNMENT REORGANIZATION since 2019-09-03
HB02519,AN ACT INSTITUTING POLICIES FOR THE PROTECTION AND WELFARE OF CAREGIVERS IN THE PRACTICE OF THEIR PROFESSION,NATIONAL,2019-07-23,"NOGRALES, JERICHO JONAS B.",2019-07-30,LABOR AND EMPLOYMENT,"Approved by the House on 2020-11-23, transmitted to the Senate on 2020-11-24 and received by the Senate on 2020-11-24",Consolidated into HB00135
HB02520,"AN ACT FOR THE CREATION OF LOCAL BIKEWAYS OFFICE (LBO), ESTABLISHING INFRASTRUCTURE IN RELATION THERETO AND PROVIDING FOR BICYCLE RIGHTS AND FOR OTHER PURPOSES",NATIONAL,2019-07-23,"NOGRALES, JERICHO JONAS B.",2019-07-30,TRANSPORTATION,,Pending with the Committee on TRANSPORTATION since 2019-07-30
HB02521,"AN ACT CREATING THE DEPARTMENT OF SPORTS, DEFINING ITS POWERS AND FUNCTIONS AND APPROPRIATING FUNDS THEREFOR",NATIONAL,2019-07-23,"NOGRALES, JERICHO JONAS B.",2019-07-30,GOVERNMENT REORGANIZATION,,Pending with the Committee on GOVERNMENT REORGANIZATION since 2019-07-30
HB02522,"AN ACT CREATING THE COCONUT INDUSTRY TRUST FUND, PROVIDING FOR ITS MANAGEMENT AND FOR OTHER PURPOSES",NATIONAL,2019-07-23,"NOGRALES, JERICHO JONAS B.",2019-07-30,AGRICULTURE AND FOOD,Republic Act RA11524 enacted on 2021-02-26,Substituted by HB08136
HB02523,"AN ACT CREATING TWO (2) ADDITIONAL BRANCHES OF THE REGIONAL TRIAL COURT IN THE FOURTH JUDICIAL REGION TO BE STATIONED IN THE MUNICIPALITIES OF ROSARIO AND SAN JUAN, PROVINCE OF BATANGAS, AND APPROPRIATING FUNDS THEREFOR, AMENDING FOR THE PURPOSE SECTION 14(E) OF BATAS PAMBANSA BILANG 129, OTHERWISE KNOWN AS THE ꞌJUDICIARY REORGANIZATION ACT OF 1980ꞌ, AS AMENDED",NATIONAL,2019-07-23,"BOLILIA, LIANDA B.",2019-07-30,JUSTICE,"Approved by the House on 2020-05-06, transmitted to the Senate on 2020-05-11 and received by the Senate on 2020-05-11",Substituted by HB06329
HB02524,"AN ACT PROVIDING FOR THE CONVERSION OF THE BANAY BANAY I − STO. CRISTO ROAD IN THE MUNICIPALITY OF SAN JOSE, PROVINCE OF BATANGAS, FROM A PROVINCIAL ROAD TO A NATIONAL ROAD AND APPROPRIATING FUNDS FOR THE MAINTENANCE AND IMPROVEMENT THEREOF",LOCAL,2019-07-23,"BOLILIA, LIANDA B.",2019-07-30,PUBLIC WORKS AND HIGHWAYS,,Pending with the Committee on PUBLIC WORKS AND HIGHWAYS since 2019-07-30
HB02525,"AN ACT PROVIDING FOR THE CONVERSION OF THE POBLACION 3, SAN JOSE − POBLACION, IBAAN ROAD IN THE MUNICIPALITIES OF SAN JOSE AND IBAAN, PROVINCE OF BATANGAS,                  FROM A PROVINCIAL ROAD TO A NATIONAL ROAD AND APPROPRIATING FUNDS FOR THE MAINTENANCE AND IMPROVEMENT THEREOF",LOCAL,2019-07-23,"BOLILIA, LIANDA B.",2019-07-30,PUBLIC WORKS AND HIGHWAYS,,Pending with the Committee on PUBLIC WORKS AND HIGHWAYS since 2019-07-30
HB02526,"AN ACT PROVIDING FOR THE CONVERSION OF THE POBLACION − BILOGO PROVINCIAL ROAD IN THE MUNICIPALITY OF TAYSAN, PROVINCE OF BATANGAS INTO A NATIONAL ROAD AND APPROPRIATING FUNDS FOR THE MAINTENANCE AND IMPROVEMENT THEREOF",LOCAL,2019-07-23,"BOLILIA, LIANDA B.",2019-07-30,PUBLIC WORKS AND HIGHWAYS,,Pending with the Committee on PUBLIC WORKS AND HIGHWAYS since 2019-07-30
HB02527,"AN ACT PROVIDING FOR THE CONVERSION OF THE POBLACION − DAGATAN ROAD IN THE MUNICIPALITY OF TAYSAN, PROVINCE OF BATANGAS, FROM A PROVINCIAL ROAD TO A NATIONAL ROAD AND APPROPRIATING FUNDS FOR THE MAINTENANCE AND IMPROVEMENT THEREOF",LOCAL,2019-07-23,"BOLILIA, LIANDA B.",2019-07-30,PUBLIC WORKS AND HIGHWAYS,,Pending with the Committee on PUBLIC WORKS AND HIGHWAYS since 2019-07-30
HB02528,"AN ACT PROVIDING FOR THE CONVERSION OF THE TAYSAN, SAN JOSE − SAMBAT, SAN PASCUAL PROVINCIAL ROAD IN THE MUNICIPALITY OF SAN JOSE, PROVINCE OF BATANGAS INTO A NATIONAL ROAD AND APPROPRIATING FUNDS FOR THE MAINTENANCE AND IMPROVEMENT THEREOF",LOCAL,2019-07-23,"BOLILIA, LIANDA B.",2019-07-30,PUBLIC WORKS AND HIGHWAYS,,Pending with the Committee on PUBLIC WORKS AND HIGHWAYS since 2019-07-30
HB02529,"AN ACT PROVIDING FOR THE CONVERSION OF THE POBLACION, ROSARIO − MAHANADIONG, TAYSAN ROAD IN THE MUNICIPALITIES OF ROSARIO AND TAYSAN, PROVINCE OF BATANGAS, FROM A PROVINCIAL ROAD TO A NATIONAL ROAD AND APPROPRIATING FUNDS FOR THE MAINTENANCE AND IMPROVEMENT THEREOF",LOCAL,2019-07-23,"BOLILIA, LIANDA B.",2019-07-30,PUBLIC WORKS AND HIGHWAYS,,Pending with the Committee on PUBLIC WORKS AND HIGHWAYS since 2019-07-30
HB02530,"AN ACT PROVIDING FOR THE CONVERSION OF THE POBLACION, PADRE GARCIA − SAN CARLOS, ROSARIO ROAD IN THE MUNICIPALITIES OF PADRE GARCIA AND ROSARIO, PROVINCE OF BATANGAS, FROM A PROVINCIAL ROAD TO A NATIONAL ROAD AND APPROPRIATING FUNDS FOR THE MAINTENANCE AND IMPROVEMENT THEREOF",LOCAL,2019-07-23,"BOLILIA, LIANDA B.",2019-07-30,PUBLIC WORKS AND HIGHWAYS,,Pending with the Committee on PUBLIC WORKS AND HIGHWAYS since 2019-07-30
HB02531,"AN ACT POSTPONING THE MAY 2020 BARANGAY AND SANGGUNIANG KABATAAN ELECTIONS TO OCTOBER 2022, AMENDING FOR THIS PURPOSE REPUBLIC ACT NO. 9164, AS AMENDED BY REPUBLIC ACT NO. 10952, REPUBLIC ACT NO. 10632, REPUBLIC ACT NO. 10656, REPUBLIC ACT NO. 10923, AND REPUBLIC ACT NO. 10952, AND FOR OTHER PURPOSES",NATIONAL,2019-07-23,"TY, DIEGO ""NONOY"" C.",2019-07-30,SUFFRAGE AND ELECTORAL REFORMS,Republic Act RA11462 enacted on 2019-12-03,Substituted by HB04933
HB02532,"AN ACT ESTABLISHING A PHILIPPINE STATISTICS AUTHORITY-CIVIL REGISTRATION SERVICE SERBILIS OUTLET IN THE MUNICIPALITY OF BUGALLON, PROVINCE OF PANGASINAN AND APPROPRIATING FUNDS THEREFOR",LOCAL,2019-07-23,"ESPINO,JUMEL ANTHONY I.",2019-07-30,POPULATION AND FAMILY RELATIONS,,Pending with the Committee on POPULATION AND FAMILY RELATIONS since 2019-07-30
HB02533,"AN ACT ESTABLISHING A DEPARTMENT OF FOREIGN AFFAIRS REGIONAL CONSULAR OFFICE − SATELLITE OFFICE IN THE MUNICIPALITY OF BUGALLON, PROVINCE OF PANGASINAN AND APPROPRIATING FUNDS THEREFOR",LOCAL,2019-07-23,"ESPINO,JUMEL ANTHONY I.",2019-07-30,FOREIGN AFFAIRS,Adopted as Resolution No. HR00038 on 2020-01-29,Substituted by HR00632
HB02534,"AN ACT DECLARING THE DOWNSTREAM AGNO RIVER AS AN ECOTOURISM ZONE, APPROPRIATING FUNDS THEREFOR, AND FOR OTHER PURPOSES",LOCAL,2019-07-23,"ESPINO,JUMEL ANTHONY I.",2019-07-30,TOURISM,"Approved by the House on 2021-03-25, transmitted to the Senate on 2021-04-12 and received by the Senate on 2021-04-12",Substituted by HB08966
HB02535,"AN ACT PROVIDING FOR COMPREHENSIVE ATOMIC REGULATION, CREATING FOR THE PURPOSE, THE PHILIPPINE ATOMIC REGULATORY COMMISSION, AND APPROPRIATING FUNDS THEREFOR",NATIONAL,2019-07-23,"AUMENTADO, ERICO ARISTOTLE C.",2019-07-30,GOVERNMENT REORGANIZATION,,Pending with the Committee on GOVERNMENT REORGANIZATION since 2019-11-26
HB02536,"AN ACT INSTITUTIONALIZING THE MALASAKIT CENTERS NATIONWIDE, APPROPRIATING FUNDS THEREFOR AND FOR OTHER PURPOSES",NATIONAL,2019-07-23,"GONZALES, AURELIO ""DONG"" JR. D.",2019-07-30,HEALTH,Republic Act RA11463 enacted on 2019-12-03,Substituted by HB05477
HB02537,"AN ACT REINSTATING THE MANDATORY RESERVE OFFICERS' TRAINING CORPS (ROTC) FOR ALL STUDENTS IN ALL PRIVATE AND PUBLIC UNIVERSITIES, COLLEGES, AND OTHER SIMILAR LEARNING INSTITUTIONS",NATIONAL,2019-07-23,"GONZALES, AURELIO ""DONG"" JR. D.",2019-07-30,BASIC EDUCATION AND CULTURE,,Pending with the Committee on BASIC EDUCATION AND CULTURE since 2019-08-05
HB02538,"AN ACT AMENDING REPUBLIC ACT NO. 8972, OTHERWISE KNOWN AS THE SOLO PARENTꞌS WELFARE ACT OF 2002, PROVIDING FOR ADDITIONAL BENEFITS AND PRIVILEGES, AND FOR OTHER PURPOSES",NATIONAL,2019-07-23,"GONZALES, AURELIO ""DONG"" JR. D.",2019-07-30,REVISION OF LAWS,"Approved by the House on 2021-01-19, transmitted to the Senate on 2021-01-20 and received by the Senate on 2021-01-20",Substituted by HB08097
HB02539,AN ACT TO ESTABLISH THE MAGNA CARTA FOR BARANGAYS,NATIONAL,2019-07-23,"GONZALES, AURELIO ""DONG"" JR. D.",2019-07-30,LOCAL GOVERNMENT,,Pending with the Committee on LOCAL GOVERNMENT since 2019-07-30
HB02540,"AN ACT INSTITUTIONALIZING MALASAKIT CENTERS TO COMPLEMENT THE IMPLEMENTATION OF REPUBLIC ACT      NO. 11223 OTHERWISE KNOWN AS THE ""UNIVERSAL HEALTH CARE ACT"" BY REQUIRING PHILHEALTH TO ESTABLISH, OPERATE AND MAINTAIN MALASAKIT CENTERS IN ALL DOH, LGU, SUC AND DND HOSPITALS IN THE COUNTRY, PROVIDING FUNDS THEREFOR, AND FOR OTHER PURPOSES",NATIONAL,2019-07-23,"RUIZ DAZA, PAUL",2019-07-30,HEALTH,Republic Act RA11463 enacted on 2019-12-03,Substituted by HB05477
HB02541,"AN ACT REDEFINING THE TERM ""INDIGENT SENIOR CITIZEN"" UNDER REPUBLIC ACT NO. 7432, AS AMENDED BY REPUBLIC ACT       NO. 9994, OTHERWISE KNOWN AS THE EXPANDED SENIOR CITIZENS ACT OF 2010, INCREASING THEIR MONTHLY PENSION AND FOR OTHER PURPOSES",NATIONAL,2019-07-23,"RUIZ DAZA, PAUL",2019-07-30,SENIOR CITIZENS,"Approved by the House on 2021-08-02, transmitted to the Senate on 2021-08-03 and received by the Senate on 2021-08-03",Substituted by HB09459
HB02542,AN ACT MANDATING THE INTEGRATION OF THE BALICUATRO COLLEGE OF ARTS AND TRADES (BCAT) WITH THE UNIVERSITY OF EASTERN PHILIPPINES (UEP) AND APPROPRIATING FUNDS THEREFOR,LOCAL,2019-07-23,"RUIZ DAZA, PAUL",2019-07-30,HIGHER AND TECHNICAL EDUCATION,"Approved by the House on 2020-06-04, transmitted to the Senate on 2020-06-08 and received by the Senate on 2020-06-08",Substituted by HB06854
HB02543,"AN ACT INSTITUTIONALIZING MALASAKIT CENTERS TO COMPLEMENT THE IMPLEMENTATION OF REPUBLIC ACT      NO. 11223 OTHERWISE KNOWN AS THE ꞌUNIVERSAL HEALTH CARE ACTꞌ BY REQUIRING PHILHEALTH TO ESTABLISH, OPERATE AND MAINTAIN MALASAKIT CENTERS IN ALL DOH, LGU, SUC AND DND HOSPITALS IN THE COUNTRY, PROVIDING FUNDS THEREFOR, AND FOR OTHER PURPOSES",NATIONAL,2019-07-23,"VILLAFUERTE, LUIS RAYMUND ""LRAY"" JR F.",2019-07-30,HEALTH,Republic Act RA11463 enacted on 2019-12-03,Substituted by HB05477
HB02544,AN ACT PROVIDING A MAGNA CARTA FOR BARANGAYS,NATIONAL,2019-07-23,"VILLAFUERTE, LUIS RAYMUND ""LRAY"" JR F.",2019-07-30,LOCAL GOVERNMENT,,Pending with the Committee on LOCAL GOVERNMENT since 2019-07-30
HB02545,"AN ACT CREATING AND ESTABLISHING THE NATIONAL ACADEMY OF SPORTS, PROVIDING FUNDS THEREFOR",NATIONAL,2019-07-23,"VILLAFUERTE, LUIS RAYMUND ""LRAY"" JR F.",2019-07-30,BASIC EDUCATION AND CULTURE,Republic Act RA11470 enacted on 2020-06-09,Substituted by HB06312
