,amenity,building,shop,office,way
29029,,,,,POINT (121.0517979 14.5333538)
29030,,,,,POINT (121.0525845 14.5331262)
29031,,,department_store,,POINT (121.0512599 14.5336767)
29032,restaurant,,,,POINT (121.051453 14.533955)
29033,restaurant,,,,POINT (121.0514107 14.5340209)
29034,restaurant,,,,POINT (121.0513919 14.5341015)
29035,restaurant,,,,POINT (121.0513985 14.534179)
29036,restaurant,,,,POINT (121.0507283 14.5342894)
29037,bank,,,,POINT (121.0502114 14.5348546)
29038,bank,,,,POINT (121.0504074 14.5348558)
29039,cafe,,,,POINT (121.0506132 14.5348547)
29040,fast_food,,,,POINT (121.0512852 14.5342706)
29041,restaurant,,,,POINT (121.0514326 14.5342471)
29042,fast_food,,,,POINT (121.0514518 14.5343549)
29043,cafe,,,,POINT (121.0513794 14.5345284)
29044,cafe,,,,POINT (121.0512991 14.5345727)
29045,bar,,,,POINT (121.0516537 14.5338584)
29046,kindergarten,,,,POINT (121.0517544 14.5338597)
29047,,,,,POINT (121.0520752 14.5336071)
29048,,,,,POINT (121.0519035 14.534081)
29049,,,,,POINT (121.0525172 14.5338287)
29050,restaurant,,,,POINT (121.0514995 14.5343233)
29051,bank,,,,POINT (121.052196 14.5343892)
29052,bank,,,,POINT (121.0522371 14.534523)
29053,bank,,,,POINT (121.0524688 14.534675)
29054,,,,,POINT (121.0528438 14.5348086)
29055,,,,,POINT (121.0530805 14.5304359)
29056,,,,yes,POINT (121.0532952 14.5306365)
29057,,,,,POINT (121.0536786 14.5309802)
29058,,,,,POINT (121.0543667 14.5308259)
29059,,,,,POINT (121.0568263 14.5297913)
29060,,,car_repair,,POINT (121.057747 14.5307279)
29061,,,,,POINT (121.0572245 14.531197)
29062,,,,,POINT (121.0572567 14.5326221)
29063,,,butcher,,POINT (121.0573436 14.5326242)
29064,,,laundry,,POINT (121.0581401 14.5324598)
29065,police,,,,POINT (121.0572948 14.5330416)
29066,,,,,POINT (121.0572938 14.5340848)
29067,,,,,POINT (121.0575808 14.5340215)
29068,,,,,POINT (121.0577492 14.5340266)
29069,,,,,POINT (121.0582609 14.5348996)
29070,,,beauty,,POINT (121.0585474 14.5329217)
29071,bar,,,,POINT (121.0587103 14.5340143)
29072,,,,,POINT (121.0594502 14.5347591)
29073,,,,,POINT (121.0594579 14.534829)
29074,,,,,POINT (121.0601532 14.5337039)
29075,,,,,POINT (121.0602206 14.5336827)
29076,atm,,,,POINT (121.0476745 14.5351467)
29077,atm,,,,POINT (121.047696 14.5351354)
29078,restaurant,,,,POINT (121.0475898 14.535216)
29079,restaurant,,,,POINT (121.0476277 14.5351722)
29080,,,kiosk,,POINT (121.0479005 14.5350736)
29081,cafe,,,,POINT (121.0477886 14.5350907)
29082,restaurant,,,,POINT (121.0474481 14.5353048)
29083,,,convenience,,POINT (121.0473786 14.5353606)
29084,,,,,POINT (121.0476611 14.5355409)
29085,restaurant,,,,POINT (121.0480849 14.5349744)
29086,restaurant,,,,POINT (121.0482012 14.5349511)
29087,fast_food,,,,POINT (121.0483338 14.5349273)
29088,restaurant,,,,POINT (121.0483396 14.5350512)
29089,fast_food,,,,POINT (121.0483439 14.5351914)
29090,restaurant,,,,POINT (121.0486917 14.5350061)
29091,cafe,,,,POINT (121.0486906 14.5351133)
29092,,,,company,POINT (121.0482014 14.5353848)
29093,,,,,POINT (121.0483212 14.5352774)
29094,bank,,,,POINT (121.0483375 14.5353899)
29095,,,,,POINT (121.0477039 14.5356615)
29096,,,,,POINT (121.0477105 14.5357221)
29097,,,,,POINT (121.0488172 14.535551)
29098,,,,,POINT (121.0498955 14.5355706)
29099,,,,,POINT (121.0488129 14.5356543)
29100,,,,,POINT (121.0488105 14.5357139)
29101,post_office,,,,POINT (121.0501403 14.5349614)
29102,,,,government,POINT (121.0511056 14.5349704)
29103,,,,,POINT (121.0510375 14.5355628)
29104,,,,,POINT (121.0509556 14.5355993)
29105,,,,,POINT (121.0509639 14.5356401)
29106,,,,,POINT (121.0517217 14.5352419)
29107,,,,,POINT (121.0517887 14.5351998)
29108,,,,,POINT (121.0522827 14.5353795)
29109,fast_food,,,,POINT (121.0523947 14.5352892)
29110,,,convenience,,POINT (121.0525329 14.5352775)
29111,,,,,POINT (121.0515657 14.5358191)
29112,,,,,POINT (121.0518983 14.5356383)
29113,,,,,POINT (121.0519011 14.5357067)
29114,,,,,POINT (121.0522263 14.53606)
29115,restaurant,,,,POINT (121.0518067 14.5365005)
29116,restaurant,,,,POINT (121.0518087 14.5370283)
29117,,,,,POINT (121.052149 14.537136)
29118,restaurant,,,,POINT (121.0519218 14.5374009)
29119,restaurant,,,,POINT (121.0519203 14.5374805)
29120,,,,,POINT (121.0520906 14.5377309)
29121,,,,,POINT (121.0521254 14.5377929)
29122,restaurant,,,,POINT (121.0521521 14.5378684)
29123,,,convenience,,POINT (121.0526141 14.538333)
29124,,,,,POINT (121.0505335 14.5403544)
29125,toilets,,,,POINT (121.0508023 14.5397423)
29126,,,,,POINT (121.0530204 14.5355231)
29127,,,,,POINT (121.0530264 14.5355884)
29128,,,,,POINT (121.054009 14.5355685)
29129,,,,,POINT (121.0542177 14.535479)
29130,,,,,POINT (121.0530368 14.5356664)
29131,,,,,POINT (121.0549971 14.535282)
29132,,,,,POINT (121.0549919 14.5353644)
29133,,,,,POINT (121.0550267 14.5354488)
29134,,,,,POINT (121.0546249 14.537456)
29135,bank,,,,POINT (121.0552717 14.5372952)
29136,,,cosmetics,,POINT (121.0554425 14.5374004)
29137,,,,,POINT (121.0559987 14.5351096)
29138,,,,,POINT (121.0560017 14.5351843)
29139,,,,,POINT (121.0560277 14.5353363)
29140,,,,,POINT (121.0572222 14.5349353)
29141,,,,,POINT (121.0571928 14.5350067)
29142,,,,,POINT (121.0572898 14.5350901)
29143,,,,,POINT (121.0572282 14.5352474)
29144,,,,,POINT (121.0582729 14.5349594)
29145,,,,,POINT (121.0536004 14.5385403)
29146,,,,,POINT (121.0543059 14.5393554)
29147,,,,,POINT (121.0543794 14.5394529)
29148,restaurant,,,,POINT (121.0557787 14.5383298)
29149,bank,,,,POINT (121.0561522 14.5383506)
29150,,,,,POINT (121.055807 14.538746)
29151,,,,,POINT (121.0501004 14.5407967)
29152,,,,,POINT (121.0497455 14.5417278)
29153,,,,,POINT (121.0497951 14.5416241)
29154,,,,,POINT (121.0494071 14.5424467)
29155,,,,,POINT (121.0496975 14.541828)
29156,,,,,POINT (121.0496495 14.5419283)
29157,,,,,POINT (121.0495605 14.5421205)
29158,,,,,POINT (121.0496067 14.5420178)
29159,,,,,POINT (121.0500909 14.5418719)
29160,,,,,POINT (121.0500419 14.5419821)
29161,,,,,POINT (121.0500013 14.5420733)
29162,,,,,POINT (121.0494809 14.5422898)
29163,,,,,POINT (121.0495181 14.5422108)
29164,,,,,POINT (121.049443 14.5423703)
29165,,,,,POINT (121.0499371 14.5421803)
29166,,,,,POINT (121.0498975 14.5422706)
29167,,,,,POINT (121.049848 14.5423836)
29168,,,,,POINT (121.0498174 14.5424536)
29169,,,,,POINT (121.0493673 14.5425313)
29170,,,,,POINT (121.0493279 14.5426266)
29171,,,,,POINT (121.0492505 14.5427953)
29172,,,,,POINT (121.0492879 14.5427139)
29173,,,,,POINT (121.0492159 14.5428708)
29174,,,,,POINT (121.0491791 14.542951)
29175,,,,,POINT (121.0491465 14.543022)
29176,,,,,POINT (121.0490964 14.54313)
29177,,,,,POINT (121.0497503 14.5426069)
29178,,,,,POINT (121.0496939 14.542718)
29179,,,,,POINT (121.0496576 14.5427982)
29180,,,,,POINT (121.04978 14.542539)
29181,,,,,POINT (121.0495797 14.5429703)
29182,,,,,POINT (121.049619 14.5428835)
29183,,,,,POINT (121.0495446 14.5430478)
29184,,,,,POINT (121.0495126 14.5431185)
29185,,,,,POINT (121.0505088 14.5409898)
29186,,,,,POINT (121.0501439 14.5417529)
29187,,,,,POINT (121.0486326 14.5437402)
29188,,,,,POINT (121.0486611 14.5436797)
29189,,,,,POINT (121.0487199 14.5437787)
29190,school,,,,POINT (121.047552 14.5443461)
29191,,,,,POINT (121.0485157 14.5439824)
29192,,,,,POINT (121.0485842 14.5438432)
29193,,,,,POINT (121.0486826 14.5438581)
29194,,,,,POINT (121.0486457 14.5439367)
29195,,,,,POINT (121.0484593 14.5441412)
29196,,,,,POINT (121.0485345 14.5441805)
29197,,,,,POINT (121.0484233 14.5442216)
29198,,,,,POINT (121.0485015 14.5442544)
29199,,,,,POINT (121.0483986 14.544277)
29200,,,,,POINT (121.0484673 14.5443308)
29201,,,,,POINT (121.0485728 14.5442843)
29202,,,,,POINT (121.049054 14.5432216)
29203,,,,,POINT (121.0490142 14.5433035)
29204,,,,,POINT (121.0489907 14.5433695)
29205,,,,,POINT (121.0489558 14.5434406)
29206,,,,,POINT (121.0493906 14.5433796)
29207,,,,,POINT (121.0493528 14.5434611)
29208,,,,,POINT (121.0488948 14.5435755)
29209,,,,,POINT (121.0489222 14.5435105)
29210,,,,,POINT (121.0487484 14.5437181)
29211,,,,,POINT (121.0488148 14.5437474)
29212,,,,,POINT (121.0488443 14.5436848)
29213,,,,,POINT (121.0487864 14.543808)
29214,,,,,POINT (121.0493159 14.5435407)
29215,,,,,POINT (121.0492921 14.5435921)
29216,,,,,POINT (121.0492503 14.5436823)
29217,,,,,POINT (121.0492199 14.54377)
29218,,,,,POINT (121.0493665 14.543713)
29219,,,,,POINT (121.0494651 14.5432187)
29220,,,,,POINT (121.0494267 14.5433016)
29221,,,,,POINT (121.0491637 14.5438794)
29222,,,,,POINT (121.0492418 14.5439169)
29223,,,,,POINT (121.0491198 14.5439651)
29224,,,,,POINT (121.0492011 14.5440042)
29225,,,,,POINT (121.0493193 14.5439542)
29226,,,,,POINT (121.0491382 14.5441506)
29227,,,,,POINT (121.0492737 14.5440391)
29228,,,,,POINT (121.0490522 14.5443247)
29229,,,,,POINT (121.048897 14.5444328)
29230,,,,,POINT (121.0490164 14.544397)
29231,,,,,POINT (121.0489798 14.5444711)
29232,,,,,POINT (121.0490557 14.5445063)
29233,,,,,POINT (121.0490957 14.5442366)
29234,,,,,POINT (121.0492074 14.5441994)
29235,,,,,POINT (121.0491683 14.5442786)
29236,,,,,POINT (121.0491312 14.5443536)
29237,,,,,POINT (121.0490955 14.5444258)
29238,school,,,,POINT (121.0474834 14.5447212)
29239,,,,,POINT (121.0527392 14.5451275)
29240,,,,,POINT (121.0518783 14.5454437)
29241,,,,,POINT (121.0518708 14.5455783)
29242,casino,,,,POINT (121.0525382 14.5458926)
29243,,,convenience,,POINT (121.0534251 14.5416056)
29244,toilets,,,,POINT (121.0534949 14.5416212)
29245,,,,,POINT (121.0539303 14.5413779)
29246,fast_food,,,,POINT (121.0535921 14.5416626)
29247,,,,,POINT (121.0546851 14.5407534)
29248,,,,,POINT (121.0551365 14.5405298)
29249,,,,,POINT (121.0551816 14.5406153)
29250,,,,,POINT (121.0553012 14.5405387)
29251,,,,,POINT (121.0552644 14.540734)
29252,,,,,POINT (121.0553751 14.540667)
29253,,,,,POINT (121.0553504 14.5408833)
29254,,,,,POINT (121.055469 14.5408191)
29255,,,bakery,,POINT (121.0553964 14.5412629)
29256,bank,,,,POINT (121.055009 14.5414623)
29257,restaurant,,,,POINT (121.053301 14.5422976)
29258,,,,,POINT (121.0533225 14.5425676)
29259,,,,,POINT (121.0534886 14.5426206)
29260,parking,,,,POINT (121.0556083 14.5409903)
29261,restaurant,,,,POINT (121.0558191 14.5410075)
29262,,,convenience,,POINT (121.0558608 14.5410868)
29263,fast_food,,,,POINT (121.0556306 14.5411669)
29264,toilets,,,,POINT (121.0557318 14.5411668)
29265,post_office,,,,POINT (121.0546206 14.5437452)
29266,,,motorcycle,,POINT (121.0536431 14.5458513)
29267,place_of_worship,,,,POINT (121.0538792 14.545812)
29268,parking,,,,POINT (121.0538957 14.5457731)
29269,,,,,POINT (121.0546352 14.5454123)
29270,,,car_repair,,POINT (121.0578196 14.5442494)
29271,bus_station,,,,POINT (121.0561131 14.5454558)
29272,restaurant,,,,POINT (121.0561208 14.5454283)
29273,marketplace,,,,POINT (121.0561006 14.5456149)
29274,,,hairdresser,,POINT (121.058907 14.534985)
29275,fast_food,,,,POINT (121.0590871 14.5370911)
29276,fast_food,,,,POINT (121.0591207 14.537113)
29277,,,motorcycle,,POINT (121.059195 14.5371313)
29278,,,,,POINT (121.0603843 14.5380067)
29279,bench,,,,POINT (121.0592491 14.5397116)
29280,place_of_worship,,,,POINT (121.0634569 14.539482)
29281,place_of_worship,,,,POINT (121.0585614 14.5404703)
29282,marketplace,,,,POINT (121.0593706 14.5412851)
29283,,,chemist,,POINT (121.0593638 14.5414512)
29284,place_of_worship,,,,POINT (121.0598829 14.5411361)
29285,place_of_worship,,,,POINT (121.0599876 14.5411629)
29286,,,,,POINT (121.058406 14.5443112)
29287,,,bakery,,POINT (121.0597905 14.5431693)
29288,,,clothes,,POINT (121.0590747 14.5457747)
29289,,,,,POINT (121.0265186 14.5470106)
29290,,,,,POINT (121.027425 14.5459665)
29291,,,,,POINT (121.0256038 14.5478282)
29292,,,,,POINT (121.0259747 14.5476482)
29293,,,,,POINT (121.025919 14.5477128)
29294,,,,,POINT (121.0259444 14.5479233)
29295,,,,,POINT (121.025994 14.5479051)
29296,,,,,POINT (121.0260678 14.5478921)
29297,,,,,POINT (121.026148 14.5474407)
29298,,,,,POINT (121.026185 14.5473936)
29299,fast_food,,,,POINT (121.0267537 14.5473086)
29300,fast_food,,,,POINT (121.0267146 14.5473541)
29301,cafe,,,,POINT (121.0266789 14.5474592)
29302,,,,,POINT (121.0257727 14.5481089)
29303,,,,,POINT (121.0259203 14.5481517)
29304,parking,,,,POINT (121.02666 14.5483295)
29305,restaurant,,,,POINT (121.0268196 14.5474573)
29306,restaurant,,,,POINT (121.0268297 14.5474485)
29307,,,convenience,,POINT (121.0268452 14.5474792)
29308,fast_food,,,,POINT (121.0268814 14.54763)
29309,parking,,,,POINT (121.026792 14.5477158)
29310,,yes,,,POINT (121.0300519 14.54733)
29311,,,,,POINT (121.025695 14.5487268)
29312,,,massage,,POINT (121.0255163 14.5488608)
29313,,,,,POINT (121.0258183 14.5488255)
29314,,,,,POINT (121.0259337 14.5489306)
29315,bus_station,,,,POINT (121.0255304 14.5491524)
29316,,,variety_store,,POINT (121.0257139 14.5490274)
29317,bus_station,,,,POINT (121.0258789 14.549239)
29318,,,convenience,,POINT (121.0260684 14.5493278)
29319,pub,,,,POINT (121.0264384 14.548893)
29320,,,kiosk,,POINT (121.0258494 14.5494401)
29321,toilets,,,,POINT (121.0259703 14.5493603)
29322,,,,,POINT (121.0259758 14.5494374)
29323,parking_entrance,,,,POINT (121.0257416 14.5495338)
29324,restaurant,,,,POINT (121.025882 14.5495458)
29325,,,,,POINT (121.0261035 14.5496035)
29326,taxi,,,,POINT (121.0268128 14.5490585)
29327,,,laundry,,POINT (121.0270241 14.549064)
29328,,,tailor,,POINT (121.027053 14.5490893)
29329,,,ticket,,POINT (121.0270819 14.5491145)
29330,post_office,,,,POINT (121.0271108 14.5491397)
29331,,,hardware,,POINT (121.027263 14.5491345)
29332,,,hardware,,POINT (121.0271739 14.549249)
29333,,,,,POINT (121.027944 14.5490884)
29334,,,,,POINT (121.0280258 14.5490803)
29335,,,,,POINT (121.0278061 14.5492398)
29336,parking,,,,POINT (121.0272965 14.5499597)
29337,bank,,,,POINT (121.0275797 14.5494248)
29338,restaurant,,,,POINT (121.0276516 14.5494915)
29339,,,books,,POINT (121.025726 14.5501536)
29340,restaurant,,,,POINT (121.0254734 14.5503336)
29341,cafe,,,,POINT (121.0258632 14.5500302)
29342,bank,,,,POINT (121.0259514 14.5501079)
29343,,,,company,POINT (121.0259084 14.5502213)
29344,,,shoes,,POINT (121.0260782 14.5502107)
29345,,,bakery,,POINT (121.0263511 14.5503943)
29346,cafe,,,,POINT (121.0264027 14.5504437)
29347,pharmacy,,,,POINT (121.0264565 14.5504883)
29348,restaurant,,,,POINT (121.0265123 14.5505323)
29349,cafe,,,,POINT (121.026563 14.5505843)
29350,restaurant,,,,POINT (121.0266008 14.5506341)
29351,,,,,POINT (121.0267366 14.5506266)
29352,cinema,,,,POINT (121.0260363 14.5512454)
29353,biergarten,,,,POINT (121.0264196 14.550929)
29354,,,,,POINT (121.026413 14.551009)
29355,restaurant,,,,POINT (121.0265161 14.5507225)
29356,,,,,POINT (121.0264349 14.5509013)
29357,,,,,POINT (121.0267452 14.550965)
29358,restaurant,,,,POINT (121.0263456 14.5510961)
29359,,,bakery,,POINT (121.0263006 14.551344)
29360,cafe,,,,POINT (121.0263259 14.5513746)
29361,,,,,POINT (121.0267522 14.5510727)
29362,,,,,POINT (121.0267 14.5511272)
29363,,,,,POINT (121.0267605 14.5511817)
29364,,,,,POINT (121.0267626 14.5512826)
29365,,,,,POINT (121.0267091 14.5513405)
29366,taxi,,,,POINT (121.0270215 14.5502621)
29367,,,,,POINT (121.0267932 14.5509099)
29368,parking_entrance,,,,POINT (121.0269078 14.5509033)
29369,,,,,POINT (121.026805 14.5510175)
29370,,,,,POINT (121.026805 14.5511245)
29371,,,,,POINT (121.0268676 14.551177)
29372,,,,,POINT (121.0268745 14.5512833)
29373,,,,,POINT (121.0268189 14.5513338)
29374,,,,,POINT (121.0269127 14.5513378)
29375,parking_entrance,,,,POINT (121.0271315 14.551207)
29376,,,,,POINT (121.0273732 14.5510906)
29377,,,,,POINT (121.0273308 14.5511999)
29378,,,,,POINT (121.0272649 14.5513313)
29379,,,,,POINT (121.0272181 14.5513788)
29380,restaurant,,,,POINT (121.0273097 14.5513901)
29381,parking,,,,POINT (121.0274747 14.5512182)
29382,bus_station,,,,POINT (121.0292543 14.5492577)
29383,fast_food,,,,POINT (121.0291478 14.5495806)
29384,,,,,POINT (121.0290201 14.5496472)
29385,,,,company,POINT (121.029345 14.5495829)
29386,cafe,,,,POINT (121.0295077 14.5496279)
29387,clinic,,,,POINT (121.0294571 14.5496861)
29388,,,convenience,,POINT (121.0293839 14.549771)
29389,fast_food,,,,POINT (121.0295596 14.5495657)
29390,toilets,,,,POINT (121.030097 14.5497564)
29391,,,florist,,POINT (121.0301425 14.5499094)
29392,fast_food,,,,POINT (121.0301646 14.5499522)
29393,,,,,POINT (121.0291398 14.5503605)
29394,,,,,POINT (121.0293925 14.5500838)
29395,,,,,POINT (121.0295238 14.5501866)
29396,fast_food,,,,POINT (121.0302048 14.5501586)
29397,childcare,,,,POINT (121.0295604 14.551022)
29398,,,,,POINT (121.0296439 14.5513692)
29399,,,,,POINT (121.0305814 14.5509684)
29400,,,,,POINT (121.0302254 14.5513793)
29401,,,,,POINT (121.0314468 14.5474748)
29402,,,,,POINT (121.031822 14.547491)
29403,,,,,POINT (121.0334601 14.5482026)
29404,,,,,POINT (121.0344959 14.5464502)
29405,parking,,,,POINT (121.0341958 14.5471762)
29406,bank,,,,POINT (121.0346063 14.5469206)
29407,atm,,,,POINT (121.0347321 14.54701)
29408,,,supermarket,,POINT (121.0347765 14.5469733)
29409,pharmacy,,,,POINT (121.0349653 14.547042)
29410,restaurant,,,,POINT (121.0349632 14.5471034)
29411,restaurant,,,,POINT (121.0349519 14.5472115)
29412,restaurant,,,,POINT (121.0349264 14.5472639)
29413,cafe,,,,POINT (121.0349809 14.5472631)
29414,,,books,,POINT (121.0351181 14.5471946)
29415,,,bakery,,POINT (121.0351851 14.5471738)
29416,restaurant,,,,POINT (121.0352411 14.5471585)
29417,,,,,POINT (121.0360174 14.5467503)
29418,restaurant,,,,POINT (121.0337014 14.5476338)
29419,,,,,POINT (121.0327605 14.5487065)
29420,,yes,,,POINT (121.031898 14.5502399)
29421,restaurant,,,,POINT (121.0332824 14.5501194)
29422,restaurant,,,,POINT (121.0359652 14.5497108)
29423,,yes,,,POINT (121.035087 14.55048)
29424,,,,,POINT (121.0267153 14.5514448)
29425,,,,,POINT (121.0267209 14.5515545)
29426,,,,,POINT (121.0266755 14.5517187)
29427,,,,,POINT (121.0267613 14.551805)
29428,,,sports,,POINT (121.0254756 14.5522378)
29429,,,shoes,,POINT (121.0255657 14.552295)
29430,restaurant,,,,POINT (121.0256573 14.5523564)
29431,pharmacy,,,,POINT (121.0258755 14.5522906)
29432,,,,,POINT (121.025729 14.5526182)
29433,,,,,POINT (121.0258013 14.5527381)
29434,,,,,POINT (121.0260822 14.552285)
29435,atm,,,,POINT (121.0265004 14.5521992)
29436,bicycle_parking,,,,POINT (121.0261142 14.5525159)
29437,,,lottery,,POINT (121.0264734 14.5525721)
29438,,,,,POINT (121.0267661 14.5513923)
29439,,,,,POINT (121.0268265 14.5514434)
29440,,,,,POINT (121.0267737 14.5515006)
29441,,,,,POINT (121.027082 14.5514218)
29442,,,,,POINT (121.0270776 14.5515212)
29443,,,,,POINT (121.0267727 14.5516271)
29444,bus_stop,,,,POINT (121.026843 14.5516756)
29445,,,,,POINT (121.0268903 14.551711)
29446,,,,,POINT (121.026984 14.5516161)
29447,,,,,POINT (121.0270308 14.5515686)
29448,,,,,POINT (121.0269372 14.5516635)
29449,cafe,,,,POINT (121.0269637 14.5516862)
29450,restaurant,,,,POINT (121.027011 14.5516802)
29451,,,,,POINT (121.0271713 14.5514262)
29452,,,,,POINT (121.0271244 14.5514737)
29453,restaurant,,,,POINT (121.0272479 14.5514499)
29454,restaurant,,,,POINT (121.0271555 14.5515394)
29455,restaurant,,,,POINT (121.0273413 14.5514204)
29456,,,convenience,,POINT (121.0274081 14.5514825)
29457,restaurant,,,,POINT (121.026954 14.5517392)
29458,,,books,,POINT (121.0274432 14.551879)
29459,office,,,,POINT (121.0275097 14.5515163)
29460,,,shoes,,POINT (121.0275521 14.551586)
29461,,,clothes,,POINT (121.0276389 14.5517057)
29462,,,,,POINT (121.0279698 14.5516573)
29463,,,,,POINT (121.0280012 14.5516947)
29464,,,electronics,,POINT (121.0274744 14.5518334)
29465,,,,,POINT (121.028103 14.5517561)
29466,,,,,POINT (121.0272898 14.5523738)
29467,,,,,POINT (121.0272627 14.5526821)
29468,,,,,POINT (121.0275001 14.5524835)
29469,restaurant,,,,POINT (121.0256932 14.5528091)
29470,,,,,POINT (121.0258805 14.5528134)
29471,,,,,POINT (121.025973 14.5529004)
29472,,,,,POINT (121.026032 14.552951)
29473,bank,,,,POINT (121.0254101 14.5532279)
29474,parking,,,,POINT (121.0255374 14.5533752)
29475,,,,company,POINT (121.0257687 14.5532658)
29476,,,,company,POINT (121.0258991 14.5533311)
29477,,,,,POINT (121.0260991 14.5530159)
29478,,,,,POINT (121.0264071 14.5529625)
29479,,,,,POINT (121.0264862 14.5528846)
29480,,,,,POINT (121.0262257 14.5533475)
29481,,,,,POINT (121.0261728 14.5534482)
29482,,,,,POINT (121.026292 14.5532864)
29483,,,,,POINT (121.026305 14.5534406)
29484,,,,,POINT (121.0263775 14.5533777)
29485,,,,,POINT (121.0255474 14.5537452)
29486,,,,,POINT (121.0256869 14.5536401)
29487,,,,,POINT (121.0257754 14.553557)
29488,,,,,POINT (121.0260696 14.5535248)
29489,,,,,POINT (121.0259743 14.5536156)
29490,,,,,POINT (121.0258831 14.5536844)
29491,,,,,POINT (121.0257866 14.5537532)
29492,,,,,POINT (121.0254629 14.5537971)
29493,,,,,POINT (121.025521 14.5539466)
29494,,,,,POINT (121.0256699 14.5538428)
29495,,,,,POINT (121.0254178 14.5540089)
29496,,,,,POINT (121.0255059 14.5541281)
29497,,,,,POINT (121.025581 14.5540775)
29498,,yes,,,POINT (121.0260821 14.5538803)
29499,,,car,,POINT (121.0264964 14.5537957)
29500,,,,,POINT (121.02775 14.552968)
29501,,,,,POINT (121.0267677 14.5535573)
29502,,,,,POINT (121.0286595 14.5520358)
29503,,,,,POINT (121.0258893 14.5544271)
29504,,,,,POINT (121.0259993 14.5543531)
29505,,,,,POINT (121.026061 14.5544686)
29506,,,,,POINT (121.025947 14.5545737)
29507,,,,,POINT (121.0258129 14.5546659)
29508,,,,,POINT (121.0256989 14.5549086)
29509,,,,,POINT (121.0254172 14.5552397)
29510,,,,,POINT (121.0256211 14.5551786)
29511,restaurant,,,,POINT (121.025417 14.5553889)
29512,,,,,POINT (121.0257002 14.5554551)
29513,,,,,POINT (121.0257136 14.5555343)
29514,,,,,POINT (121.0257243 14.5556005)
29515,,,,,POINT (121.0257538 14.5556979)
29516,,,,,POINT (121.0257927 14.5557952)
29517,,,,,POINT (121.0256036 14.555912)
29518,,,convenience,,POINT (121.0259557 14.5561353)
29519,bank,,,,POINT (121.0255133 14.5563302)
29520,atm,,,,POINT (121.0255207 14.5563608)
29521,restaurant,,,,POINT (121.0256044 14.5562977)
29522,cafe,,,,POINT (121.025657 14.5563507)
29523,bank,,,,POINT (121.0256153 14.5565093)
29524,,,,,POINT (121.0254065 14.5566948)
29525,,,,,POINT (121.0254601 14.5568025)
29526,public_building,,,,POINT (121.030021 14.555271)
29527,,,,,POINT (121.029432 14.5556771)
29528,,,,,POINT (121.0320874 14.5522342)
29529,,,,,POINT (121.0337997 14.5536822)
29530,,,,,POINT (121.0341413 14.5542306)
29531,,,,,POINT (121.0341913 14.5543425)
29532,fountain,,,,POINT (121.0345492 14.5554011)
29533,fast_food,,,,POINT (121.0349629 14.5551962)
29534,,,,,POINT (121.0351907 14.5544895)
29535,,,,,POINT (121.0351995 14.5552879)
29536,,,,,POINT (121.0356681 14.5553485)
29537,pharmacy,,,,POINT (121.0344379 14.5558513)
29538,restaurant,,,,POINT (121.0344879 14.5558495)
29539,fast_food,,,,POINT (121.0347072 14.5558149)
29540,restaurant,,,,POINT (121.0346033 14.5559479)
29541,atm,,,,POINT (121.0345796 14.5560155)
29542,parking,,,,POINT (121.0346389 14.5561677)
29543,bank,,,,POINT (121.0340489 14.556401)
29544,public_building,,,,POINT (121.034271 14.5564099)
29545,,,,,POINT (121.0347184 14.5566482)
29546,,,convenience,,POINT (121.0351332 14.5556333)
29547,pharmacy,,,,POINT (121.0350598 14.5557355)
29548,,,,,POINT (121.035459 14.5556332)
29549,,,,,POINT (121.0350234 14.5559034)
29550,,,,,POINT (121.0364291 14.5467763)
29551,,,,,POINT (121.036808 14.5468485)
29552,,,,,POINT (121.0368246 14.5468641)
29553,,,,,POINT (121.0372405 14.546964)
29554,,,,,POINT (121.0389009 14.5462525)
29555,,,,,POINT (121.0377745 14.5471141)
29556,,,,,POINT (121.0385143 14.5472296)
29557,,,,,POINT (121.0376883 14.5478184)
29558,,,,,POINT (121.036583 14.5483466)
29559,,,,,POINT (121.0381008 14.5477661)
29560,,,,,POINT (121.038544 14.5479213)
29561,,,,,POINT (121.0394077 14.5470197)
29562,,,,,POINT (121.0402374 14.5466395)
29563,,,,,POINT (121.0415303 14.5459938)
29564,,,,,POINT (121.0413364 14.5463345)
29565,,,,,POINT (121.0410381 14.5467185)
29566,,,,,POINT (121.0408054 14.547039)
29567,,,,,POINT (121.0392363 14.5472989)
29568,,,,,POINT (121.0396879 14.5473297)
29569,,,,,POINT (121.0391313 14.5479557)
29570,,,,,POINT (121.0401222 14.5473451)
29571,,,,,POINT (121.0396749 14.5479766)
29572,,,,,POINT (121.0401034 14.5479986)
29573,,,,,POINT (121.0405011 14.5472816)
29574,,,,,POINT (121.0435711 14.546069)
29575,,,,,POINT (121.0430451 14.5475284)
29576,,yes,,,POINT (121.0451438 14.546418)
29577,bank,,,,POINT (121.0456619 14.5462267)
29578,,yes,,,POINT (121.0455243 14.5463854)
29579,,,,,POINT (121.045212 14.5467928)
29580,,,convenience,,POINT (121.0454456 14.5471984)
29581,,,,,POINT (121.0466628 14.5467047)
29582,restaurant,,,,POINT (121.0461144 14.5471812)
29583,,,,,POINT (121.0463202 14.5472419)
29584,,,furniture,,POINT (121.045969 14.5473243)
29585,,,furniture,,POINT (121.0459897 14.547399)
